ID;TarifID;DateStart;DateEnd;Value
2396;6;2021-07-01 00:00:00;2021-12-31 00:00:00;1.0700
2397;10;2021-07-01 00:00:00;2021-12-31 00:00:00;3.0700
2398;11;2021-07-01 00:00:00;2021-12-31 00:00:00;3.1200
2399;12;2021-07-01 00:00:00;2021-12-31 00:00:00;1.5400
2400;27;2021-07-01 00:00:00;2021-12-31 00:00:00;2.1800
2401;28;2021-07-01 00:00:00;2021-12-31 00:00:00;1.0700
2402;29;2021-07-01 00:00:00;2021-12-31 00:00:00;2.1600
2403;23;2021-06-01 00:00:00;2021-06-30 00:00:00;6.9500
2404;23;2021-07-01 00:00:00;2021-07-31 00:00:00;7.2900
2405;23;2021-08-01 00:00:00;2021-08-31 00:00:00;7.5300
2406;23;2021-09-01 00:00:00;2021-09-30 00:00:00;7.5500
2407;23;2021-10-01 00:00:00;2021-10-31 00:00:00;7.5800
